,index,company,body-style,wheel-base,length,engine-type,num-of-cylinders,horsepower,average-mileage
0,0,alfa-romero,convertible,88.6,168.8,dohc,four,111,21
1,1,alfa-romero,convertible,88.6,168.8,dohc,four,111,21
2,2,alfa-romero,hatchback,94.5,171.2,ohcv,six,154,19
3,3,audi,sedan,99.8,176.6,ohc,four,102,24
4,4,audi,sedan,99.4,176.6,ohc,five,115,18
5,5,audi,sedan,99.8,177.3,ohc,five,110,19
6,6,audi,wagon,105.8,192.7,ohc,five,110,19
7,9,bmw,sedan,101.2,176.8,ohc,four,101,23
8,10,bmw,sedan,101.2,176.8,ohc,four,101,23
9,11,bmw,sedan,101.2,176.8,ohc,six,121,21
10,13,bmw,sedan,103.5,189.0,ohc,six,182,16
11,14,bmw,sedan,103.5,193.8,ohc,six,182,16
12,15,bmw,sedan,110.0,197.0,ohc,six,182,15
13,16,chevrolet,hatchback,88.4,141.1,l,three,48,47
14,17,chevrolet,hatchback,94.5,155.9,ohc,four,70,38
15,18,chevrolet,sedan,94.5,158.8,ohc,four,70,38
16,19,dodge,hatchback,93.7,157.3,ohc,four,68,31
17,20,dodge,hatchback,93.7,157.3,ohc,four,68,31
18,27,honda,wagon,96.5,157.1,ohc,four,76,30
19,28,honda,sedan,96.5,175.4,ohc,four,101,24
20,29,honda,sedan,96.5,169.1,ohc,four,100,25
21,30,isuzu,sedan,94.3,170.7,ohc,four,78,24
22,31,isuzu,sedan,94.5,155.9,ohc,four,70,38
23,32,isuzu,sedan,94.5,155.9,ohc,four,70,38
24,33,jaguar,sedan,113.0,199.6,dohc,six,176,15
25,34,jaguar,sedan,113.0,199.6,dohc,six,176,15
26,35,jaguar,sedan,102.0,191.7,ohcv,twelve,262,13
27,36,mazda,hatchback,93.1,159.1,ohc,four,68,30
28,37,mazda,hatchback,93.1,159.1,ohc,four,68,31
29,38,mazda,hatchback,93.1,159.1,ohc,four,68,31
30,39,mazda,hatchback,95.3,169.0,rotor,two,101,17
31,43,mazda,sedan,104.9,175.0,ohc,four,72,31
32,44,mercedes-benz,sedan,110.0,190.9,ohc,five,123,22
33,45,mercedes-benz,wagon,110.0,190.9,ohc,five,123,22
34,46,mercedes-benz,sedan,120.9,208.1,ohcv,eight,184,14
35,47,mercedes-benz,hardtop,112.0,199.2,ohcv,eight,184,14
36,49,mitsubishi,hatchback,93.7,157.3,ohc,four,68,37
37,50,mitsubishi,hatchback,93.7,157.3,ohc,four,68,31
38,51,mitsubishi,sedan,96.3,172.4,ohc,four,88,25
39,52,mitsubishi,sedan,96.3,172.4,ohc,four,88,25
40,53,nissan,sedan,94.5,165.3,ohc,four,55,45
41,54,nissan,sedan,94.5,165.3,ohc,four,69,31
42,55,nissan,sedan,94.5,165.3,ohc,four,69,31
43,56,nissan,wagon,94.5,170.2,ohc,four,69,31
44,57,nissan,sedan,100.4,184.6,ohcv,six,152,19
45,61,porsche,hardtop,89.5,168.9,ohcf,six,207,17
46,62,porsche,convertible,89.5,168.9,ohcf,six,207,17
47,63,porsche,hatchback,98.4,175.7,dohcv,eight,288,17
48,66,toyota,hatchback,95.7,158.7,ohc,four,62,35
49,67,toyota,hatchback,95.7,158.7,ohc,four,62,31
50,68,toyota,hatchback,95.7,158.7,ohc,four,62,31
51,69,toyota,wagon,95.7,169.7,ohc,four,62,31
52,70,toyota,wagon,95.7,169.7,ohc,four,62,27
53,71,toyota,wagon,95.7,169.7,ohc,four,62,27
54,79,toyota,wagon,104.5,187.8,dohc,six,156,19
55,80,volkswagen,sedan,97.3,171.7,ohc,four,52,37
56,81,volkswagen,sedan,97.3,171.7,ohc,four,85,27
57,82,volkswagen,sedan,97.3,171.7,ohc,four,52,37
58,86,volkswagen,sedan,97.3,171.7,ohc,four,100,26
59,87,volvo,sedan,104.3,188.8,ohc,four,114,23
60,88,volvo,wagon,104.3,188.8,ohc,four,114,23
